Area Code,Item Code,Element Code,Element Name,Num_2000,Symb_2000,Num_2001,Symb_2001,Num_2002,Symb_2002,Num_2003,Symb_2003,Num_2004,Symb_2004,Num_2005,Symb_2005
119,632,61,Imports - Qty (Mt),118.000, ,644.000, ,5973.000, ,1783.000, ,3671.000, ,2556.000,*
119,632,91,Exports - Qty (Mt),0.000, ,0.000, ,4.000, ,600.000, ,283.000, ,1500.000, 
119,633,61,Imports - Qty (Mt),25512.000, ,30478.000, ,37838.000, ,41846.000, ,28336.000, ,48392.000, 
119,633,91,Exports - Qty (Mt),14037.000, ,17905.000, ,18665.000, ,21827.000, ,28439.000, ,27916.000, 
119,634,41,Extr Rate (Hg/Mt),3870.968,C,3818.182,C,3888.889,C,3833.333,C,3833.333,C,3803.681,C
119,634,51,Production (Mt),24000.000,*,21000.000,*,21000.000,*,23000.000,*,23000.000,*,31000.000,*
119,634,61,Imports - Qty (Mt),2495.000, ,4283.000, ,7399.000,*,17310.000, ,39080.000, ,43223.000, 
119,634,91,Exports - Qty (Mt),2687.000, ,3989.000, ,35223.000, ,33933.000, ,48981.000, ,35142.000, 
119,654,41,Extr Rate (Hg/Mt),5000.000,C,5000.000,C,5000.000,C,5000.000,C,5000.000,C,5000.000,C
119,654,51,Production (Mt),38100.000,C,35650.000,C,36450.000,C,40750.000,C,39750.000,C,57250.000,C
119,654,61,Imports - Qty (Mt),0.000, ,0.000, ,0.000,T,0.000,T,0.000,T,195.000, 
119,654,91,Exports - Qty (Mt),0.000, ,0.000, ,80.000, ,238.000,*,258.000, ,0.000,*
119,846,61,Imports - Qty (Mt),12.000, ,8.000, ,161.000, ,378.000, ,1717.000, ,4135.000, 
119,846,91,Exports - Qty (Mt),0.000, ,6.000, ,2.000, ,2.000, ,17.000, ,36.000,*
119,1242,41,Extr Rate (Hg/Mt),12500.000,C,12500.000,C,12500.000,C,12500.000,C,12500.000,C,12500.000,C
119,1242,51,Production (Mt),13750.000,C,15000.000,C,13750.000,C,12500.000,C,11250.000,C,10000.000,C
119,1242,61,Imports - Qty (Mt),13423.000, ,13957.000, ,13243.000, ,14146.000, ,15316.000, ,14937.000, 
119,1242,91,Exports - Qty (Mt),17.000, ,35.000, ,52.000, ,72.000, ,58.000, ,53.000, 
119,1275,61,Imports - Qty (Mt),2283.000, ,3400.000, ,3635.000, ,4428.000, ,5793.000, ,7341.000, 
119,1275,91,Exports - Qty (Mt),64.000, ,171.000, ,402.000, ,408.000, ,1565.000, ,2615.000, 
120,18,61,Imports - Qty (Mt),640.000,*,830.000,*,939.000,*,879.000,P,1205.000,P,1565.000,P
120,18,91,Exports - Qty (Mt),0.000,T,0.000,T,0.000,T,0.000,T,0.000,T,0.000,T
120,27,41,Yield (Hg/Ha),30605.947,C,31263.770,C,32739.289,C,31403.498,C,32830.512,C,34890.355,C
120,27,51,Production (Mt),2201700.000, ,2334700.000, ,2416500.000, ,2375100.000, ,2529000.000, ,2568000.000, 
120,27,61,Imports - Qty (Mt),0.000,T,0.000,T,0.000,T,2.000,P,3.000,P,5.000,P
120,31,41,Extr Rate (Hg/Mt),6000.000,C,6000.000,C,6000.000,C,6000.000,C,6000.000,C,6000.000,C
120,31,51,Production (Mt),1070026.250,C,1134664.250,C,1174419.000,C,1154299.625,C,1229095.375,C,1248050.375,C
120,31,61,Imports - Qty (Mt),13693.000,*,21969.000,*,26400.000,*,23557.000,P,32862.000,*,22324.000,*
120,32,41,Extr Rate (Hg/Mt),10000.000,C,10000.000,C,10000.000,C,10000.000,C,10000.000,C,10000.000,C
120,32,51,Production (Mt),46000.000,C,48000.000,C,48000.000,C,50000.000,C,50000.000,C,50000.000,C
120,35,41,Extr Rate (Hg/Mt),1000.000,C,1000.000,C,1000.000,C,1000.000,C,1000.000,C,1000.000,C
120,35,51,Production (Mt),178337.703,C,189110.688,C,195736.500,C,192383.250,C,204849.234,C,208008.391,C
120,35,61,Imports - Qty (Mt),0.000,T,0.000,T,0.000,T,0.000,T,4.000,P,0.000, 
120,35,91,Exports - Qty (Mt),0.000,T,0.000,T,0.000,T,0.000,T,1.000,P,99.000,P
120,36,41,Extr Rate (Hg/Mt),1800.000,C,1800.000,C,1800.000,C,1800.000,C,1800.000,C,1800.000,C
120,36,51,Production (Mt),3210.079,C,3403.992,C,3523.257,C,3462.898,C,3687.358,C,3744.151,C
120,37,41,Extr Rate (Hg/Mt),8000.000,C,8000.000,C,8000.000,C,8000.000,C,8000.000,C,8000.000,C
120,37,51,Production (Mt),14267.016,C,15128.854,C,15658.920,C,15390.659,C,16388.260,C,16640.670,C
120,41,61,Imports - Qty (Mt),800.000,*,1350.000,*,1228.000,*,982.000,P,1384.000,P,2346.000,P
120,51,41,Extr Rate (Hg/Mt),80000.000,C,80000.000,C,80000.000,C,80000.000,C,80000.000,C,80000.000,C
