Area Code,Item Code,Element Code,Element Name,Num_1995,Symb_1995,Num_1996,Symb_1996,Num_1997,Symb_1997,Num_1998,Symb_1998,Num_1999,Symb_1999,Num_2000,Symb_2000,Num_2001,Symb_2001,Num_2002,Symb_2002,Num_2003,Symb_2003,Num_2004,Symb_2004,Num_2005,Symb_2005,Num_2006,Symb_2006,Num_2007,Symb_2007
210,16,41,Extr Rate (Hg/Mt),7500,F,7500,F,7500,F,7500,F,7500,F,7500,F,7500,F,7500,F,7500,F,7500,F,7500,F,7500,F,7500,F
210,16,51,Production (Mt),494174, ,499902, ,518166, ,506431, ,505000,F,498000,F,498000,F,486000,F,486000,F,496500,F,523000,F,530000,F,540000,F
210,20,41,Extr Rate (Hg/Mt),12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C
210,20,51,Production (Mt),14400,C,14400,C,10800,C,10800,C,10800,C,6000,C,2400,C,0,C,1200,C,0,C,0,C,0,C,4800,C
210,22,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
210,22,51,Production (Mt),0,M,0,M,0,M,0,M,0,M,0,M,3000,C,5000,C,10000,C,1500,C,0,C,8000,C,11000,C
211,16,41,Extr Rate (Hg/Mt),7200,F,6900,F,7200,F,6900,F,7100,F,7100,F,7100,F,7000,F,7000,F,7000,F,7000,F,7000,F,7000,F
211,16,51,Production (Mt),418608,C,428766,C,442224.031,C,433113,C,455465,C,486563.031,C,443750,C,450940,C,448070,C,441000,C,436030,C,456190,C,446390,C
211,19,41,Extr Rate (Hg/Mt),200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C
211,19,51,Production (Mt),11628,C,12428,C,12284,C,12554,C,12830,C,13706,C,12500,C,12884,C,12802,C,12600,C,12458,C,13034,C,12754,C
211,20,41,Extr Rate (Hg/Mt),12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C
211,20,51,Production (Mt),0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
211,22,41,Extr Rate (Hg/Mt),0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
211,22,51,Production (Mt),0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
212,16,41,Extr Rate (Hg/Mt),8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C,8000,C
212,16,51,Production (Mt),1944000.125,C,2016000,C,2087999.875,C,2160000,C,2120000,C,2116000,C,2200000,C,2280000,C,2344000,C,2416000,C,2384000,C,2544000,C,2680000,C
212,18,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
212,18,51,Production (Mt),3578.696,C,3635.16,C,3773.999,C,3903.378,C,3837.528,C,3824.982,C,3991.734,C,4118.4,C,4945.386,C,2558.015,C,7200.3,C,11479.05,C,8061.999,C
212,20,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
212,20,51,Production (Mt),1192.899,C,3635.16,C,5031.999,C,5204.503,C,5116.704,C,5099.976,C,5322.312,C,5491.2,C,4945.386,C,8526.718,C,12000.5,C,19131.75,C,13436.665,C
212,22,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
212,22,51,Production (Mt),7157.391,C,4846.879,C,3773.999,C,3903.378,C,3837.528,C,3824.982,C,3991.734,C,4118.4,C,4945.386,C,1705.344,C,14400.6,C,30610.801,C,24185.996,C
213,16,41,Extr Rate (Hg/Mt),7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C
213,16,51,Production (Mt),528840,C,514800.031,C,585000,C,645840,C,666900,C,705900,C,726960,C,690300,C,702000,C,725400,C,733200,C,733200,C,737100,C
213,19,41,Extr Rate (Hg/Mt),300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C
213,19,51,Production (Mt),20340,C,19800,C,22500,C,24840,C,25650,C,27150,C,27960,C,26550,C,27000,C,27900,C,28200,C,28200,C,28350,C
214,16,41,Extr Rate (Hg/Mt),7502.732,C,7499.258,C,7502.965,C,7496.341,C,7502.246,C,7502.312,C,7497.648,C,7497.409,C,7500.47,C,7500.094,C,7499.981,C,7499.713,C,7502.507,C
214,16,51,Production (Mt),711259, ,707930, ,761551, ,745886, ,738221, ,785492, ,784254, ,781230, ,798050, ,796735, ,801643, ,784320, ,811021, 
214,18,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
214,18,51,Production (Mt),22270.801,C,22200,C,22200,C,22800,C,22800,C,23400,C,23100,C,22800,C,22800,C,22800,C,22800,C,22800,C,22800,C
214,19,41,Extr Rate (Hg/Mt),200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C
214,19,51,Production (Mt),18960,C,18880,C,20300,C,19900,C,19680,C,20940,C,20920,C,20840,C,21280,C,21246,C,21377.199,C,20916,C,21620,C
214,20,41,Extr Rate (Hg/Mt),12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C
214,20,51,Production (Mt),8908.32,C,8880,C,8880,C,9120,C,9120,C,9360,C,9240,C,9120,C,9120,C,9120,C,9120,C,9120,C,9120,C
214,22,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
214,22,51,Production (Mt),7423.6,C,7400,C,7400,C,7600,C,7600,C,7800,C,7700,C,7600,C,7600,C,7600,C,7600,C,7600,C,7600,C
215,16,41,Extr Rate (Hg/Mt),7600,C,7600,C,7600,C,7600,C,7600,C,7600,C,7600,C,7600,C,7600,C,7600,C,7600,C,7600,C,7600,C
215,16,51,Production (Mt),108279.703,C,126404.273,C,149604.562,C,211974.844,C,197497.438,C,211745.172,C,304287.969,C,343114.625,C,320549.438,C,410857.562,C,423725.469,C,472745.75,C,558137.75,C
215,20,41,Extr Rate (Hg/Mt),12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C
215,20,51,Production (Mt),0,C,0,C,0,C,0,C,0,C,0,C,240,C,60,C,240,C,240,C,240,C,240,C,240,C
216,16,41,Extr Rate (Hg/Mt),7000,C,7000,C,7000,C,7000,C,7000,C,7000,C,7000,C,7000,C,7000,C,7000,C,7000,C,7000,C,7000,C
216,16,51,Production (Mt),428250.188,C,485895.844,C,382779.594,C,456747.906,C,494912.594,C,479756.188,C,568580.625,C,614452.25,C,547518.312,C,665018.875,C,804345.5,C,704801.312,C,597601.875,C
216,18,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
216,18,51,Production (Mt),31379.002,C,31319.002,C,31000,C,41000,C,40000,C,42000,C,43500,C,46500,C,55000,C,52500,C,54500,C,59000,C,58000,C
216,20,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
216,20,51,Production (Mt),4,C,5,C,50,C,50,C,50,C,50,C,60,C,60,C,70,C,80,C,22000,C,24000,C,27000,C
216,22,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
216,22,51,Production (Mt),29715.002,C,18748,C,20600,C,26800,C,38800,C,19000,C,20000,C,24500,C,26700,C,28500,C,25000,C,27000,C,20000,C
217,16,41,Extr Rate (Hg/Mt),7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C
217,16,51,Production (Mt),38896.5,C,33603,C,45016.5,C,38775,C,46130.582,C,44781.02,C,97827,C,118662.742,C,93876,C,55133.246,C,75575.25,C,67642.5,C,52284.75,C
220,16,41,Extr Rate (Hg/Mt),7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C,7500,C
220,16,51,Production (Mt),76238.016,C,76787.625,C,91052.688,C,92550.031,C,92878.734,C,92419.883,C,89766.75,C,88345.422,C,83930.781,C,87898.062,C,90443.141,C,96146.406,C,110218.43,C
220,18,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
220,18,51,Production (Mt),1700,C,1100,C,2100,C,2000,C,900,C,1500,C,1600,C,1650,C,1600,C,1600,C,1600,C,2000,C,1500,C
