HS 2007 code,HS 2007 title,HS 2012 code,HS 2012 title,FCL Item code,FCL Title,Last update: 12 May 2014
170290,"- Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",170290,"- Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",0155,"Maltose, Chemically Pure",
170290,"- Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",170290,"- Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",0167,Sugar and Syrups nes,
170290,"- Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",170290,"- Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",0175,Isoglucose,
170310,- Cane molasses,170310,- Cane molasses,0165,Molasses,
170390,- Other,170390,- Other,0165,Molasses,
170410,"- Chewing gum, whether or not sugar-coated",170410,"- Chewing gum, whether or not sugar-coated",0168,Sugar Confectionery,
170490,- Other,170490,- Other,0168,Sugar Confectionery,
180100,"Cocoa beans, whole or broken, raw or roasted.",180100,"Cocoa beans, whole or broken, raw or roasted.",0661,Cocoa beans,
180200,"Cocoa shells, husks, skins and other cocoa waste.",180200,"Cocoa shells, husks, skins and other cocoa waste.",0663,Cocoa Husks and Shells,
180310,- Not defatted,180310,- Not defatted,0662,Cocoa Paste,
180320,- Wholly or partly defatted,180320,- Wholly or partly defatted,0665,Cocoa Powder and Cake,
180400,"Cocoa butter, fat and oil.",180400,"Cocoa butter, fat and oil.",0664,Cocoa Butter,
180500,"Cocoa powder, not containing added sugar or other sweetening matter.",180500,"Cocoa powder, not containing added sugar or other sweetening matter.",0665,Cocoa Powder and Cake,
180610,"- Cocoa powder, containing added sugar or other sweetening matter",180610,"- Cocoa powder, containing added sugar or other sweetening matter",0666,Chocolate Products nes,
180620,"- Other preparations in blocks, slabs or bars weighing more than 2 kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, of a content exceeding 2 kg",180620,"- Other preparations in blocks, slabs or bars weighing more than 2 kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings, of a content exceeding 2 kg",0666,Chocolate Products nes,
180631,-- Filled,180631,-- Filled,0666,Chocolate Products nes,
180632,-- Not filled,180632,-- Not filled,0666,Chocolate Products nes,
180690,- Other,180690,- Other,0666,Chocolate Products nes,
190110,"- Preparations for infant use, put up for retail sale",190110,"- Preparations for infant use, put up for retail sale",0109,Infant Food,
190120,- Mixes and doughs for the preparation of bakers' wares of heading 19.05,190120,- Mixes and doughs for the preparation of bakers' wares of heading 19.05,0114,Mixes and Doughs,
190190,- Other,190190,- Other,0115,"Food Preparations of Flour, Meal or Malt Extract",
190190,- Other,190190,- Other,0050,Malt Extract,
190211,-- Containing eggs,190211,-- Containing eggs,0018,Macaroni,
190219,-- Other,190219,-- Other,0018,Macaroni,
190220,"- Stuffed pasta, whether or not cooked or otherwise prepared",190220,"- Stuffed pasta, whether or not cooked or otherwise prepared",1232,Food Preparations nes,
190230,- Other pasta,190230,- Other pasta,1232,Food Preparations nes,
190240,- Couscous,190240,- Couscous,1232,Food Preparations nes,
190300,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms.",190300,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms.",0121,Tapioca of Potatoes,
190300,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms.",190300,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms.",0127,Tapioca of Cassava,
190410,- Prepared foods obtained by the swelling or roasting of cereals or cereal products,190410,- Prepared foods obtained by the swelling or roasting of cereals or cereal products,0041,Breakfast Cereals,
190420,- Prepared foods obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes orswelled cereals,190420,- Prepared foods obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes and roasted cereal flakes orswelled cereals,0041,Breakfast Cereals,
190430,Bulgur wheat,190430,Bulgur wheat,0021,Bulgur,
190490,- Other,190490,- Other,0041,Breakfast Cereals,
190510,Crispbread,190510,Crispbread,0020,Bread,
190520,Gingerbread and the like,190520,Gingerbread and the like,0022,Pastry,
190531,Sweet biscuits,190531,Sweet biscuits,0022,Pastry,
190532,Waffles and wafers,190532,Waffles and wafers,0022,Pastry,
190540,"Rusks, toasted bread and similar toasted products",190540,"Rusks, toasted bread and similar toasted products",0022,Pastry,
190540,"Rusks, toasted bread and similar toasted products",190540,"Rusks, toasted bread and similar toasted products",0020,Bread,
190590,Other,190590,Other,0020,Bread,
190590,Other,190590,Other,0022,Pastry,
190590,Other,190590,Other,0110,Wafers,
200110,- Cucumbers and gherkins,200110,- Cucumbers and gherkins,0471,Vegetables in Vinegar,
200190,- Other,200190,- Other,0235,Prepared Nuts,
200190,- Other,200190,- Other,0623,"Fruit, prepared nes",
200190,- Other,200190,- Other,0262,"Olives, Preserved",
200190,- Other,200190,- Other,0471,Vegetables in Vinegar,
200210,"- Tomatoes, whole or in pieces",200210,"- Tomatoes, whole or in pieces",0392,"Tomatoes, Peeled (O/T vinegar)",
200290,- Other,200290,- Other,0391,Paste of Tomatoes,
200310,- Mushrooms of the genus Agaricus,200310,- Mushrooms of the genus Agaricus,0451,Canned Mushrooms,
200320,- Truffles,200390,- Other (Mushrooms other than genus Agaricus an truffles),0451,Canned Mushrooms,
200390,- Other,200390,- Other (Mushrooms Other than genus Agaricus an truffles),0451,Canned Mushrooms,
200410,- Potatoes,200410,- Potatoes,0475,"Vegetables, Preserved (Frozen)",
200490,- Other vegetables and mixtures of vegetables,200490,- Other vegetables and mixtures of vegetables,0262,"Olives, Preserved",
200490,- Other vegetables and mixtures of vegetables,200490,- Other vegetables and mixtures of vegetables,0475,"Vegetables, Preserved (Frozen)",
200510,- Homogenised vegetables,200510,- Homogenised vegetables,0476,Homogenized Vegetable Preparations,
200520,- Potatoes,200520,- Potatoes,0472,"Vegetables, Preserved nes (O/T vinegar)",
200540,- Peas (Pisum sativum),200540,- Peas (Pisum sativum),0472,"Vegetables, Preserved nes (O/T vinegar)",
200551,"-- Beans, shelled",200551,"-- Beans, shelled",0472,"Vegetables, Preserved nes (O/T vinegar)",
200559,-- Other,200559,-- Other,0472,"Vegetables, Preserved nes (O/T vinegar)",
200560,- Asparagus,200560,- Asparagus,0472,"Vegetables, Preserved nes (O/T vinegar)",
200570,- Olives,200570,- Olives,0262,"Olives, Preserved",
200580,- Sweet corn (Zea mays var. saccharata),200580,- Sweet corn (Zea mays var. saccharata),0448,"Sweet Corn, Prepared or Preserved",
200591,-- Bamboo shoots,200591,-- Bamboo shoots,0472,"Vegetables, Preserved nes (O/T vinegar)",
200599,-- Other,200599,-- Other,0472,"Vegetables, Preserved nes (O/T vinegar)",
200600,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glaci or crystallised).",200600,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glaci or crystallised).",0625,"Fruit, Nuts, Peel, Sugar Preserved",
200710,- Homogenised composite food preparations,200710,- Homogenised composite food preparations,0626,"Homogenized Cooked Fruit, Prepared",
200791,-- Citrus fruit,200791,-- Citrus fruit,0623,"Fruit, prepared nes",
200799,-- Other,200799,-- Other,0235,Prepared Nuts,
200799,-- Other,200799,-- Other,0623,"Fruit, prepared nes",
200811,-- Ground-nuts,200811,-- Ground-nuts,0246,Prepared Groundnuts,
200811,-- Ground-nuts,200811,-- Ground-nuts,0247,Peanut Butter,
200819,"-- Other, including mixtures",200819,"-- Other, including mixtures",0235,Prepared Nuts,
200820,- Pineapples,200820,- Pineapples,0575,"Pineapples, Canned",
200830,- Citrus fruit,200830,- Citrus fruit,0623,"Fruit, prepared nes",
200840,- Pears,200840,- Pears,0623,"Fruit, prepared nes",
200850,- Apricots,200850,- Apricots,0623,"Fruit, prepared nes",
200860,- Cherries,200860,- Cherries,0623,"Fruit, prepared nes",
200870,"- Peaches, including nectarines",200870,"- Peaches, including nectarines",0623,"Fruit, prepared nes",
200880,- Strawberries,200880,- Strawberries,0623,"Fruit, prepared nes",
200891,-- Palm hearts,200891,-- Palm hearts,0623,"Fruit, prepared nes",
200899,-- Other,200893,"-- Cranberries (Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea)",0623,"Fruit, prepared nes",
200892,-- Mixtures,200897,-- Mixtures,0623,"Fruit, prepared nes",
200899,-- Other,200899,-- Other,0584,Mango Pulp,
200899,-- Other,200899,-- Other,0623,"Fruit, prepared nes",
200911,-- Frozen,200911,-- Frozen,0491,Juice of Orange,
200911,-- Frozen,200911,-- Frozen,0492,"Orange Juice, Concentrated",
200912,"-- Not frozen, of a Brix value not exceeding 20",200912,"-- Not frozen, of a Brix value not exceeding 20",0491,Juice of Orange,
200919,-- Other,200919,-- Other,0492,"Orange Juice, Concentrated",
200921,-- Of a Brix value not exceeding 20,200921,-- Of a Brix value not exceeding 20,0509,Juice of Grapefruit,
200929,-- Other,200929,-- Other,0510,"Grapefruit Juice, Concentrated",
200931,- Of a Brix value not exceeding 20,200931,- Of a Brix value not exceeding 20,0496,"Juice of Tangerine, Mandarin and Clementin",
200931,- Of a Brix value not exceeding 20,200931,- Of a Brix value not exceeding 20,0498,Juice of Lemon,
200931,- Of a Brix value not exceeding 20,200931,- Of a Brix value not exceeding 20,0513,Juice of Citrus Fruit nes,
200939,- Other,200939,- Other,0499,"Lemon Juice, Concentrated",
200939,- Other,200939,- Other,0514,"Citrus Juice, Concentrated nes",
200941,-- Of a Brix value not exceeding 20,200941,-- Of a Brix value not exceeding 20,0576,Juice of Pineapples,
200949,-- Other,200949,-- Other,0580,"Juice of Pineapples, Concentrated",
200950,- Tomato juice,200950,- Tomato juice,0390,Juice of Tomatoes,
200961,-- Of a Brix value not exceeding 30,200961,-- Of a Brix value not exceeding 30,0562,Juice of Grape,
200969,-- Other,200969,-- Other,0562,Juice of Grape,
200971,-- Of a Brix value not exceeding 20,200971,-- Of a Brix value not exceeding 20,0518,Apple Juice,
200979,-- Other,200979,-- Other,0519,"Apple Juice, Concentrated",
200980,- Juice of any other single fruit or vegetable,200981,"-- Cranberry (Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea) juice",0622,Juice of fruits nes,
200980,- Juice of any other single fruit or vegetable,200989,-- Other ,0538,Juice of plum,
200980,- Juice of any other single fruit or vegetable,200989,-- Other ,0539,"Juice of plum, concentrated",
200980,- Juice of any other single fruit or vegetable,200989,-- Other ,0583,Juice of Mango,
200980,- Juice of any other single fruit or vegetable,200989,-- Other ,0622,Juice of fruits nes,
200980,- Juice of any other single fruit or vegetable,200989,-- Other ,0466,Juice of Vegetables nes,
200990,- Mixtures of juices,200990,- Mixtures of juices,0622,Juice of fruits nes,
200990,- Mixtures of juices,200990,- Mixtures of juices,0466,Juice of Vegetables nes,
210111,"-- Extracts, essences and concentrates",210111,"-- Extracts, essences and concentrates",0659,Coffee Extracts,
210112,"-- Preparations with a basis of extracts, essences or concentrates or with a basis of coffee",210112,"-- Preparations with a basis of extracts, essences or concentrates or with a basis of coffee",0659,Coffee Extracts,
210120,"- Extracts, essences and concentrates, of tea or matC), and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or matC)",210120,"- Extracts, essences and concentrates, of tea or matC), and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or matC)",0672,Extracts of Tea and Mate,
210130,"- Roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof",210130,"- Roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof",0659,Coffee Extracts,
210210,- Active yeasts,210210,- Active yeasts,1232,Food Preparations nes,
210220,"- Inactive yeasts; other single -cell micro-organisms, dead",210220,"- Inactive yeasts; other single -cell micro-organisms, dead",1232,Food Preparations nes,
210230,- Prepared baking powders,210230,- Prepared baking powders,1232,Food Preparations nes,
210310,- Soya sauce,210310,- Soya sauce,0239,Soya Sauce,
210320,- Tomato ketchup and other tomato sauces,210320,- Tomato ketchup and other tomato sauces,1232,Food Preparations nes,
210330,- Mustard flour and meal and prepared mustard,210330,- Mustard flour and meal and prepared mustard,0295,Flour of Mustard Seed,
210390,- Other,210390,- Other,0240,Soya Paste,
210390,- Other,210390,- Other,1232,Food Preparations nes,
210410,- Soups and broths and preparations therefor,210410,- Soups and broths and preparations therefor,1232,Food Preparations nes,
210420,- Homogenised composite food preparations,210420,- Homogenised composite food preparations,1232,Food Preparations nes,
210500,"Ice cream and other edible ice, whether or not containing cocoa.",210500,"Ice cream and other edible ice, whether or not containing cocoa.",0910,Ice Cream and Edible Ice,
210610,- Protein concentrates and textured protein substances,210610,- Protein concentrates and textured protein substances,0241,Soya Curd,
210610,- Protein concentrates and textured protein substances,210610,- Protein concentrates and textured protein substances,1232,Food Preparations nes,
210610,- Protein concentrates and textured protein substances,210610,- Protein concentrates and textured protein substances,0240,Soya Paste,
210690,- Other,210690,- Other,1232,Food Preparations nes,
220110,- Mineral waters and aerated waters,220110,- Mineral waters and aerated waters,0631,"Waters, Ice and Snow",
220190,- Other,220190,- Other,0631,"Waters, Ice and Snow",
220210,"- Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured",220210,"- Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured",0633,"Beverages, Non-Alcoholic",
220290,- Other,220290,- Other,0633,"Beverages, Non-Alcoholic",
220300,Beer made from malt.,220300,Beer made from malt.,0051,Beer of Barley,
220300,Beer made from malt.,220300,Beer made from malt.,0066,Beer of Maize,
220300,Beer made from malt.,220300,Beer made from malt.,0082,Beer of Millet,
220300,Beer made from malt.,220300,Beer made from malt.,0086,Beer of Sorghum,
220410,- Sparkling wine,220410,- Sparkling wine,0564,Wine,
220421,-- In containers holding 2 l or less,220421,-- In containers holding 2 l or less,0563,Must of Grape,
220421,-- In containers holding 2 l or less,220421,-- In containers holding 2 l or less,0564,Wine,
220429,-- Other,220429,-- Other,0563,Must of Grape,
220429,-- Other,220429,-- Other,0564,Wine,
220430,- Other grape must,220430,- Other grape must,0563,Must of Grape,
220510,- In containers holding 2 l or less,220510,- In containers holding 2 l or less,0565,"Vermouths, etc.",
220590,- Other,220590,- Other,0565,"Vermouths, etc.",
220600,"Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",220600,"Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",0517,"Cider, etc.",
220600,"Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",220600,"Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",0026,Wheat-Fermented Beverages,
220600,"- Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",220600,"- Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",0039,Rice-Fermented Beverages,
220710,- Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,220710,- Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,0632,"Alcohol, Non-Food Purposes",
220720,"- Ethyl alcohol and other spirits, denatured, of any strength",220720,"- Ethyl alcohol and other spirits, denatured, of any strength",0632,"Alcohol, Non-Food Purposes",
220820,- Spirits obtained by distilling grape wine or grape marc,220820,- Spirits obtained by distilling grape wine or grape marc,0634,"Beverages, Distilled Alcoholic",
220830,- Whiskies,220830,- Whiskies,0634,"Beverages, Distilled Alcoholic",
220840,- Rum and tafia,220840,- Rum and tafia,0634,"Beverages, Distilled Alcoholic",
220850,- Gin and Geneva,220850,- Gin and Geneva,0634,"Beverages, Distilled Alcoholic",
220860,- Vodka,220860,- Vodka,0634,"Beverages, Distilled Alcoholic",
220870,- Liqueurs and cordials,220870,- Liqueurs and cordials,0634,"Beverages, Distilled Alcoholic",
220890,- Other,220890,- Other,0634,"Beverages, Distilled Alcoholic",
220900,Vinegar and substitutes for vinegar obtained from acetic acid.,220900,Vinegar and substitutes for vinegar obtained from acetic acid.,1232,Food Preparations nes,
230110,"- Flours, meals and pellets, of meat or meat offal; greaves",230110,"- Flours, meals and pellets, of meat or meat offal; greaves",1173,Meat Meal,
230110,"- Flours, meals and pellets, of meat or meat offal; greaves",230110,"- Flours, meals and pellets, of meat or meat offal; greaves",1175,Blood Meal,
230120,"- Flours, meals and pellets, of fish or of crustaceans, molluscs or other aquatic invertebrates",230120,"- Flours, meals and pellets, of fish or of crustaceans, molluscs or other aquatic invertebrates",1174,Fish Meal,
230210,- Of maize (corn),230210,- Of maize (corn),0059,Bran of Maize,
230230,- Of wheat,230230,- Of wheat,0017,Bran of Wheat,
230240,Of other cereals,230240,Of other cereals,0035,Bran of Rice,
230240,Of other cereals,230240,Of other cereals,0047,Bran of Barley,
230240,- Of other cereals,230240,- Of other cereals,0073,Bran of Rye,
230240,- Of other cereals,230240,- Of other cereals,0077,Bran of Oats,
230240,- Of other cereals,230240,- Of other cereals,0081,Bran of Millet,
230240,- Of other cereals,230240,- Of other cereals,0085,Bran of Sorghum,
230240,- Of other cereals,230240,- Of other cereals,0091,Bran of Buckwheat,
230240,- Of other cereals,230240,- Of other cereals,0096,Bran of Fonio,
230240,- Of other cereals,230240,- Of other cereals,0099,Bran of Triticale,
230240,- Of other cereals,230240,- Of other cereals,0105,Bran of Mixed Grain,
230240,- Of other cereals,230240,- Of other cereals,0112,Bran of Cereals nes,
230250,- Of leguminous plants,230250,- Of leguminous plants,0213,Bran of Pulses,
230310,Residues of starch manufacture and similar residues,230310,Residues of starch manufacture and similar residues,0033,"Rice, Gluten",
230310,- Residues of starch manufacture and similar residues,230310,- Residues of starch manufacture and similar residues,0063,Maize Gluten,
230310,- Residues of starch manufacture and similar residues,230310,- Residues of starch manufacture and similar residues,0846,Gluten Feed and Meal,
230320,"- Beet-pulp, bagasse and other waste of sugar manufacture",230320,"- Beet-pulp, bagasse and other waste of sugar manufacture",0169,Beet Pulp,
230320,"- Beet-pulp, bagasse and other waste of sugar manufacture",230320,"- Beet-pulp, bagasse and other waste of sugar manufacture",0170,Bagasse,
230400,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.",230400,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.",0238,Cake of Soybeans,
230500,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil.",230500,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil.",0245,Cake of Groundnuts,
230610,- Of cotton seeds,230610,- Of cotton seeds,0332,Cake of Cottonseed,
230620,- Of linseed,230620,- Of linseed,0335,Cake of Linseed,
230630,- Of sunflower seeds,230630,- Of sunflower seeds,0269,Cake of Sunflower Seed,
230641,-- Of low erucic acid rape or colza seeds,230641,-- Of low erucic acid rape or colza seeds,0272,Cake of Rapeseed,
230649,-- Other,230649,-- Other,0272,Cake of Rapeseed,
230650,- Of coconut or copra,230650,- Of coconut or copra,0253,Cake of Copra,
230660,- Of palm nuts or kernels,230660,- Of palm nuts or kernels,0259,Cake of Palm Kernel,
230690,- Other,230690,- Other,0273,Olive Residues,
230690,- Other,230690,- Other,0282,Cake of Safflower Seed,
230690,- Other,230690,- Other,0291,Cake of Sesame Seed,
230690,- Other,230690,- Other,0294,Cake of Mustard Seed,
230690,- Other,230690,- Other,0298,Cake of Poppy Seed,
230690,- Other,230690,- Other,0037,Cake of Rice Bran,
230690,- Other,230690,- Other,0314,Cake of Kapok,
230690,- Other,230690,- Other,0338,Cake of Hempseed,
230690,- Other,230690,- Other,0341,Cake of Oilseeds nes,
230690,- Other,230690,- Other,0061,Cake of Maize,
230700,Wine lees; argol.,230700,Wine lees; argol.,1259,"Food Waste, Prep. for Feed",
230700,Wine lees; argol.,230700,Wine lees; argol.,0653,Food Wastes,
230800,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",230800,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",0650,"Leaves, Tops and Vines nes",
230800,"- Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",230800,"- Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",0120,Potato Offals,
230800,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified orincluded.",230800,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified orincluded.",0566,Marc of Grape,
230800,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",230800,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",0628,"Pulp, Waste of Fruit for Feed",
230800,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",230800,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",0629,Beet Tops,
230800,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",230800,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",0630,Cane Tops,
230800,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",230800,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",0652,Vegetable Products for Feed nes,
230910,"- Dog or cat food, put up for retail sale",230910,"- Dog or cat food, put up for retail sale",0843,Pet Food,
230990,- Other,230990,- Other,0855,Feed Minerals,
230990,- Other,230990,- Other,0653,Food Wastes,
230990,- Other,230990,- Other,0840,"Compound Feed, Cattle",
230990,- Other,230990,- Other,0841,"Compound Feed, Poultry",
230990,- Other,230990,- Other,0842,"Compound Feed, Pigs",
230990,- Other,230990,- Other,0845,Compound Feed nes,
230990,- Other,230990,- Other,0849,Feed Yeast,
230990,- Other,230990,- Other,0850,Feed Supplements,
230990,- Other,230990,- Other,0851,Non-Protein Nitrogens,
230990,- Other,230990,- Other,0852,Other Concentrates nes,
230990,- Other,230990,- Other,1259,"Food Waste, Prep. for Feed",
230990,- Other,230990,- Other,0853,Vitamins,
230990,- Other,230990,- Other,0854,Feed Additives,
240110,"- Tobacco, not stemmed/stripped",240110,"- Tobacco, not stemmed/stripped",0826,Tobacco leaves,
240120,"- Tobacco, partly or wholly stemmed/stripped",240120,"- Tobacco, partly or wholly stemmed/stripped",0826,Tobacco leaves,
240130,- Tobacco refuse,240130,- Tobacco refuse,0826,Tobacco leaves,
240210,"- Cigars, cheroots and cigarillos, containing tobacco",240210,"- Cigars, cheroots and cigarillos, containing tobacco",0829,Cigars and Cheroots,
240220,- Cigarettes containing tobacco,240220,- Cigarettes containing tobacco,0828,Cigarettes,
240290,- Other,240290,- Other,0828,Cigarettes,
240290,- Other,240290,- Other,0829,Cigars and Cheroots,
240310,"- Smoking tobacco, whether or not containing tobacco substitutes in any proportion",240310,"- Smoking tobacco, whether or not containing tobacco substitutes in any proportion",0831,Tobacco Products nes,
240391,Homogenised or reconstituted tobacco,240391,Homogenised or reconstituted tobacco,0831,Tobacco Products nes,
240399,-- Other,240399,-- Other,0831,Tobacco Products nes,
330112,-- Of orange,330112,-- Of orange,0753,Essential oils nes,
330113,-- Of lemon,330113,-- Of lemon,0753,Essential oils nes,
330119,-- Other,330119,-- Other,0753,Essential oils nes,
330124,-- Of peppermint (Mentha piperita),330124,-- Of peppermint (Mentha piperita),0753,Essential oils nes,
330125,-- Of other mints,330125,-- Of other mints,0753,Essential oils nes,
330129,-- Other,330129,-- Other,0737,Oil of citronella,
330129,-- Other,330129,-- Other,0753,Essential oils nes,
330130,-- Resinoids,330130,-- Resinoids,0753,Essential oils nes,
330190,- Other,330190,- Other,0753,Essential oils nes,
350110,- Casein,350110,- Casein,0917,Casein,
350211,-- Dried,350211,-- Dried,0916,Egg Albumin,
350219,-- Other,350219,-- Other,0916,Egg Albumin,
382311,-- Stearic acid,382311,-- Stearic acid,1276,Fatty Acids,
382312,-- Oleic acid,382312,-- Oleic acid,1276,Fatty Acids,
382313,-- Tall oil fatty acids,382313,-- Tall oil fatty acids,1276,Fatty Acids,
382319,-- Other,382319,-- Other,1276,Fatty Acids,
400110,"- Natural rubber latex, whether or not pre-vulcanised",400110,"- Natural rubber latex, whether or not pre-vulcanised",0836,Natural rubber,
400121,-- Smoked sheets,400121,-- Smoked sheets,0837,"Rubber, Natural (Dry)",
400122,-- Technically specified natural rubber (TSNR),400122,-- Technically specified natural rubber (TSNR),0837,"Rubber, Natural (Dry)",
400129,-- Other,400129,-- Other,0837,"Rubber, Natural (Dry)",
400130,"- Balata, gutta -percha, guayule, chicle and similar Natural gums",400130,"- Balata, gutta -percha, guayule, chicle and similar Natural gums",0839,Natural gums,
410120,"- Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved",410120,"- Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved",1102,"Horse hides, fresh",
410120,"- Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved",410120,"- Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved",1103,"Hides, Wet-Salted (Horses)",
410120,"- Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved",410120,"- Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved",1104,"Hides, Dry-Salted (Horses)",
410120,"- Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved",410120,"- Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved",1105,"Hides nes, Horses",
410120,"- Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved",410120,"- Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved",1109,"Hides of asses, fresh",
410120,"- Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved",410120,"- Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 16 kg when fresh, wet-salted or otherwise preserved",1112,"Hides of mules, fresh",
