HS 2007 code,HS 2007 title,HS 2012 code,HS 2012 title,FCL Item code,FCL Title,Last update: 12 May 2014
110423,-- Of maize (corn),110423,-- Of maize (corn),0113,Cereal Preparations,
110429,Of other cereals,110429,Of other cereals,0113,Cereal Preparations,
110429,- Of other cereals,110429,- Of other cereals,0045,Pot Barley,
110429,-- Of other cereals,110429,-- Of other cereals,0046,"Barley, Pearled",
110430,"- Germ of cereals, whole, rolled, flaked or ground",110430,"- Germ of cereals, whole, rolled, flaked or ground",0019,Germ of Wheat,
110430,"- Germ of cereals, whole, rolled, flaked or ground",110430,"- Germ of cereals, whole, rolled, flaked or ground",0057,Germ of Maize,
110510,"- Flour, meal and powder",110510,"- Flour, meal and powder",0117,Flour of Potatoes,
110520,"- Flakes, granules and pellets",110520,"- Flakes, granules and pellets",0117,Flour of Potatoes,
110610,- Of the dried leguminous vegetables of heading 07.13,110610,- Of the dried leguminous vegetables of heading 07.13,0212,Flour of Pulses,
110620,- Of sago or of roots or tubers of heading 07.14,110620,- Of sago or of roots or tubers of heading 07.14,0126,Flour of Cassava,
110620,- Of sago or of roots or tubers of heading 07.14,110620,- Of sago or of roots or tubers of heading 07.14,0150,Flour of Roots and Tubers nes,
110630,- Of the products of Chapter 8,110630,- Of the products of Chapter 8,0624,Flour of Fruits,
110690,- Other,110690,- Other,1169,"Live animals, non food nes",
110710,- Not roasted,110710,- Not roasted,0049,Malt,
110720,- Roasted,110720,- Roasted,0049,Malt,
110811,-- Wheat starch,110811,-- Wheat starch,0023,Starch of Wheat,
110812,-- Maize (corn) starch,110812,-- Maize (corn) starch,0064,Starch of Maize,
110813,-- Potato starch,110813,-- Potato starch,0119,Starch of Potatoes,
110814,-- Manioc (cassava) starch,110814,-- Manioc (cassava) starch,0129,Starch of Cassava,
110819,-- Other starches,110819,-- Other starches,0034,Starch of Rice,
110900,"- Wheat gluten, whether or not dried.",110900,"- Wheat gluten, whether or not dried.",0024,Wheat Gluten,
120100,"Soya beans, whether or not broken.",120110,"- Seed (Soya beans, whether or not broken)",0236,Soybeans,
120100,"Soya beans, whether or not broken.",120190,"- Other (Soya beans, whether or not broken)",0236,Soybeans,
"120210
120220","- In shell
- Shelled, whether or not broken",120230,- Seed (Groundnuts),0242,"Groundnuts, in shell",
120210,- In shell,120241,-- In shell (Groundnuts),0242,"Groundnuts, in shell",
120220,"- Shelled, whether or not broken",120242,"-- Shelled, whether or not Broken (Groundnuts)",0243,"Groundnuts, Shelled",
120300,Copra,120300,Copra,0251,Copra,
120400,"Linseed, whether or not broken.",120400,"Linseed, whether or not broken.",0333,Linseed,
