2501,1,1
2511,15,1
2511,17,0
2511,19,0
2511,24,0
2511,114,0
2511,115,0
2805,27,0.667
2805,33,0
2805,35,0
2512,27,0.78
2512,33,0
2512,35,0
2513,44,1
2513,47,0
2513,48,0
2514,56,1
2514,57,0
2514,59,0
2514,63,0
2515,71,1
2515,73,0
2516,75,1
2516,77,0
2517,79,1
2517,81,0
2518,83,1
2518,85,0
2520,68,1
2520,89,1
2520,91,0
2520,92,1
2520,94,1
2520,96,0
2520,97,1
2520,99,0
2520,101,1
2520,103,1
2520,105,0
2520,108,1
2520,112,0
2531,116,1
2532,125,1
2533,122,1
2534,135,1
2534,136,1
2534,149,1
2535,137,1
2536,156,1
2537,157,1
2541,163,1
2542,162,1
2543,154,1
2543,155,1
2543,160,1
2543,161,1
2543,166,1
2543,167,1
2543,172,1
2543,173,1
2543,165,0
2544,165,1
2546,176,1
2547,187,1
2549,181,1
2549,191,1
2549,195,1
2549,197,1
2549,201,1
2549,203,1
2549,205,1
2549,210,1
2549,211,1
2549,213,0
2551,216,1
2551,217,1
2551,220,1
2551,221,1
2551,222,1
2551,223,1
2551,224,1
2551,225,1
2551,226,1
2551,234,1
2555,236,1
2556,242,0.7
2557,267,1
2558,270,1
2558,292,1
2559,328,1
2559,329,1
2560,249,1
2561,289,1
2564,254,1
2562,256,1
2563,260,1
2570,263,1
2570,265,1
2570,275,1
2570,277,1
2570,280,1
2570,296,1
2570,299,1
2570,305,1
2570,310,1
2570,312,1
2570,333,1
2570,336,1
2570,339,1
2571,237,1
2572,244,1
2573,268,1
2574,271,1
2574,293,1
2575,331,1
2576,258,1
2577,257,1
2578,252,1
2579,290,1
2580,261,1
2580,274,1
2581,36,1
2582,60,1
2586,264,1
2586,266,1
2586,276,1
2586,278,1
2586,281,1
2586,297,1
2586,306,1
2586,307,1
2586,313,1
2586,334,1
2586,337,1
2586,340,1
2586,664,1
2590,238,1
2591,245,1
2592,269,1
2593,272,1
2593,294,1
2594,332,1
2595,259,1
2596,253,1
2597,291,1
2598,37,1
2598,61,1
2598,282,1
2598,298,1
2598,314,1
2598,335,1
2598,338,1
2598,341,1
2600,17,1
2600,35,1
2600,47,1
2600,59,1
2600,73,1
2600,77,1
2600,81,1
2600,85,1
2600,91,1
2600,96,1
2600,99,1
2600,105,1
2600,112,1
2600,213,1
2601,388,1
2602,403,1
2605,358,1
2605,366,1
2605,367,1
2605,372,1
2605,373,1
2605,378,1
2605,393,1
2605,394,1
2605,397,1
2605,399,1
2605,401,1
2605,402,1
2605,406,1
2605,407,1
2605,414,1
2605,417,1
2605,420,1
2605,423,1
2605,426,1
2605,430,1
2605,446,1
2605,449,1
2605,459,1
2605,461,1
2605,463,1
2605,567,1
2605,568,1
2611,490,1
2611,495,1
2612,497,1
2613,507,1
2614,512,1
2615,486,1
2616,489,1
2617,515,1
2618,574,1
2618,576,1
2618,580,1
2619,577,1
